Command Line Args: Namespace(config_file='./configs/C10_R20-FRN-SiLU/C10_R20-FRN-SiLU_SGD.yaml', weight_file='./outputs/C10_R20-FRN-SiLU/SGD_20211022/best_acc1.pth.tar', ensemble_size=128, ensemble_progress=True, opts=[])

Standard metrics on test examples:
  # Ens     ACC     NLL     ECE     ENT     KLD
-------  ------  ------  ------  ------  ------
      1  0.8551  0.5609  0.0859  0.1880  0.0000
      2  0.8735  0.4337  0.0295  0.2704  0.4967
      3  0.8786  0.3962  0.0198  0.2990  0.4856
      4  0.8826  0.3722  0.0149  0.3163  0.4803
      5  0.8824  0.3654  0.0143  0.3288  0.4834
      6  0.8841  0.3569  0.0140  0.3379  0.4811
      7  0.8857  0.3520  0.0120  0.3427  0.4843
      8  0.8884  0.3464  0.0134  0.3467  0.4859
      9  0.8898  0.3427  0.0158  0.3507  0.4859
     10  0.8912  0.3402  0.0169  0.3543  0.4862
     11  0.8910  0.3381  0.0163  0.3557  0.4864
     12  0.8912  0.3358  0.0168  0.3579  0.4878
     13  0.8919  0.3337  0.0175  0.3603  0.4871
     14  0.8914  0.3312  0.0163  0.3617  0.4877
     15  0.8912  0.3296  0.0174  0.3637  0.4875
     16  0.8907  0.3284  0.0179  0.3648  0.4889
     17  0.8932  0.3273  0.0192  0.3655  0.4891
     18  0.8922  0.3271  0.0186  0.3657  0.4879
     19  0.8932  0.3271  0.0187  0.3662  0.4873
     20  0.8949  0.3265  0.0198  0.3668  0.4881
     21  0.8940  0.3259  0.0188  0.3678  0.4884
     22  0.8940  0.3256  0.0196  0.3690  0.4895
     23  0.8942  0.3254  0.0194  0.3696  0.4892
     24  0.8935  0.3252  0.0188  0.3701  0.4910
     25  0.8942  0.3254  0.0198  0.3705  0.4912
     26  0.8942  0.3247  0.0201  0.3708  0.4914
     27  0.8934  0.3238  0.0199  0.3713  0.4907
     28  0.8933  0.3231  0.0195  0.3719  0.4906
     29  0.8929  0.3232  0.0190  0.3723  0.4908
     30  0.8926  0.3221  0.0200  0.3724  0.4918
     31  0.8933  0.3222  0.0199  0.3730  0.4923
     32  0.8929  0.3223  0.0207  0.3735  0.4916
     33  0.8930  0.3224  0.0195  0.3738  0.4914
     34  0.8928  0.3221  0.0192  0.3741  0.4924
     35  0.8927  0.3220  0.0187  0.3742  0.4920
     36  0.8933  0.3221  0.0190  0.3746  0.4916
     37  0.8928  0.3219  0.0186  0.3748  0.4919
     38  0.8935  0.3220  0.0191  0.3751  0.4917
     39  0.8936  0.3216  0.0193  0.3753  0.4912
     40  0.8933  0.3214  0.0196  0.3759  0.4920
     41  0.8930  0.3216  0.0189  0.3762  0.4918
     42  0.8916  0.3213  0.0183  0.3764  0.4916
     43  0.8931  0.3211  0.0198  0.3766  0.4917
     44  0.8932  0.3207  0.0194  0.3768  0.4916
     45  0.8934  0.3207  0.0194  0.3770  0.4921
     46  0.8928  0.3206  0.0196  0.3774  0.4924
     47  0.8935  0.3205  0.0199  0.3778  0.4923
     48  0.8931  0.3204  0.0197  0.3778  0.4923
     49  0.8936  0.3205  0.0200  0.3779  0.4920
     50  0.8939  0.3200  0.0202  0.3781  0.4925
     51  0.8941  0.3200  0.0211  0.3783  0.4928
     52  0.8933  0.3197  0.0196  0.3785  0.4928
     53  0.8938  0.3199  0.0202  0.3788  0.4927
     54  0.8937  0.3199  0.0201  0.3789  0.4923
     55  0.8938  0.3200  0.0203  0.3790  0.4925
     56  0.8935  0.3197  0.0199  0.3791  0.4923
     57  0.8942  0.3197  0.0207  0.3793  0.4925
     58  0.8940  0.3195  0.0205  0.3794  0.4925
     59  0.8939  0.3196  0.0204  0.3796  0.4926
     60  0.8941  0.3194  0.0205  0.3794  0.4931
     61  0.8938  0.3195  0.0203  0.3795  0.4935
     62  0.8941  0.3196  0.0207  0.3798  0.4936
     63  0.8944  0.3195  0.0212  0.3799  0.4934
     64  0.8939  0.3194  0.0213  0.3799  0.4933
     65  0.8942  0.3194  0.0214  0.3801  0.4935
     66  0.8938  0.3194  0.0214  0.3803  0.4934
     67  0.8938  0.3194  0.0218  0.3802  0.4931
     68  0.8939  0.3195  0.0218  0.3804  0.4930
